"SOURCE MAPPING  —  Every source question mapped to its Impactree Indicator  |  Filter by Standard, Module, or Indicator ID",,,,,,
Impactree ID,Module,Indicator,Source Standard,Source Question ID,Source Question Text,Source Section / Module
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,EcoVadis,EV-LAB1005,Describe your policy on paying living wage:,General > Policies Impact on score
IMP-M14-I08,Labor & Human Rights,Forced & Compulsory Labor,EcoVadis,EV-LAB1007,Does your company employ migrant workers?,General > Measures Impact on score
IMP-M15-I01,Occupational Health & Safety,OHS Management System,EcoVadis,EV-LAB3178,What actions has your company implemented to protect employee health and safety?,General > Measures Impact on score
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,EcoVadis,EV-LAB3204,What actions has your company taken towards paying employees a living wage?,General > Measures Impact on score
IMP-M14-I04,Labor & Human Rights,Employee Benefits & Well-being,EcoVadis,EV-LAB3205,What actions has your company implemented to ensure good working conditions?,General > Measures Impact on score
IMP-M14-I06,Labor & Human Rights,Freedom of Association & Collective Bargaining,EcoVadis,EV-LAB330,What actions has your company implemented to promote structured social dialogue?,General > Measures Impact on score
IMP-M14-I06,Labor & Human Rights,Freedom of Association & Collective Bargaining,EcoVadis,EV-LAB3300,Are your company’s main operations located in a region where the right to freedom of association is restricted by local,General > Measures Impact on score
IMP-M17-I03,Training & Skill Development,Skills Upgradation Training,EcoVadis,EV-LAB343,What actions has your company implemented to promote employee career management and training?,General > Measures Impact on score
IMP-M14-I07,Labor & Human Rights,Child Labor,EcoVadis,EV-LAB3510,"What actions has your company implemented to address child labor, forced labor, and human trafficking?",General > Measures Impact on score
IMP-M16-I05,"Diversity, Equity & Inclusion",Non-Discrimination,EcoVadis,EV-LAB3601,What actions has your company implemented to prevent discrimination and harassment?,General > Measures Impact on score
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,EcoVadis,EV-LAB4501,Please report on the coverage of your company's actions throughout all operations:,General > Coverage Multiplying factor
IMP-M14-I03,Labor & Human Rights,Wages & Minimum Wage Compliance,EcoVadis,EV-LAB4502,Please report on the following living wage metrics:,General > Reporting Impact on score
IMP-M16-I05,"Diversity, Equity & Inclusion",Non-Discrimination,EcoVadis,EV-LAB561,Please report on the following metrics related to discrimination and harassment in the workplace unless prohibited by,General > Reporting Impact on score
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,EcoVadis,EV-LAB601,On which of the following topics does your company report metrics?,General > Reporting Impact on score
IMP-M14-I01,Labor & Human Rights,Employment & Workforce Data,EcoVadis,EV-LAB6010,Please report on the following metrics related to labor topics:,General > Reporting Impact on score
IMP-M13-I01,Supply Chain & Procurement,Sustainable Sourcing Policy & Process,EcoVadis,EV-SUP100,Does your company have a policy with qualitative objectives and quantitative targets for:,General > Policies Impact on score
IMP-M13-I01,Supply Chain & Procurement,Sustainable Sourcing Policy & Process,EcoVadis,EV-SUP300,What actions has your company implemented to integrate social and environmental factors within procurement?,General > Measures Impact on score
IMP-M13-I04,Supply Chain & Procurement,Local & MSME Procurement,EcoVadis,EV-SUP320,Do you have an inclusive sourcing program in place or other actions designed to prevent discrimination in the supply,General > Measures Impact on score
IMP-M13-I07,Supply Chain & Procurement,Supply Chain Transparency & Traceability,EcoVadis,EV-SUP6100,Please report on the following sustainable procurement metrics:,General > Coverage Multiplying factor
IMP-M13-I07,Supply Chain & Procurement,Supply Chain Transparency & Traceability,EcoVadis,EV-SUP710,"Is there any tin, tantalum, tungsten, or gold remaining in the product that your company manufactures, subcontracts, or",General > Reporting Impact on score
IMP-M10-I01,Biodiversity & Land Use,Policies & Commitments on Biodiversity,GRI,GRI-101-1a,"[Policies to halt and reverse biodiversity loss] describe its policies or commitments to halt and reverse biodiversity loss, and how",GRI 101_ Biodiversity 2024 - English
IMP-M10-I01,Biodiversity & Land Use,Policies & Commitments on Biodiversity,GRI,GRI-101-1b,[Policies to halt and reverse biodiversity loss] report the extent to which these policies or commitments apply to the organization’s,GRI 101_ Biodiversity 2024 - English
IMP-M10-I01,Biodiversity & Land Use,Policies & Commitments on Biodiversity,GRI,GRI-101-1c,"[Policies to halt and reverse biodiversity loss] report the goals and targets to halt and reverse biodiversity loss, whether they are",GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2a,[Management of biodiversity impacts] report how it applies the mitigation hierarchy by describing:,GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2b,"[Management of biodiversity impacts] with reference to 101-2-a-iii, report for each site with the most significant impacts on",GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2c,"[Management of biodiversity impacts] with reference to 101-2-a-iv, report for each offset:",GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2d,[Management of biodiversity impacts] list which of its sites with the most significant impacts on biodiversity have a,GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2e,[Management of biodiversity impacts] describe how it enhances synergies and reduces trade-offs between actions taken to,GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2f,[Management of biodiversity impacts] describe how it ensures that the actions taken to manage its impacts on biodiversity,GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2i,[Management of biodiversity impacts] actions taken to avoid negative impacts on biodiversity;,GRI 101_ Biodiversity 2024 - English
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,GRI,GRI-101-2v,[Management of biodiversity impacts] transformative actions taken and additional conservation actions taken;,GRI 101_ Biodiversity 2024 - English
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,GRI,GRI-101-3a,[Access and benefit-sharing] describe the process to ensure compliance with access and benefit-sharing,GRI 101_ Biodiversity 2024 - English
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,GRI,GRI-101-3b,[Access and benefit-sharing] describe voluntary actions taken to advance access and benefit-sharing that are,GRI 101_ Biodiversity 2024 - English
IMP-M10-I02,Biodiversity & Land Use,Operations in or near Sensitive Areas,GRI,GRI-101-4a,[Identification of biodiversity impacts] explain how it has determined which of its sites and which products and services in its,GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5a,[Locations with biodiversity impacts] report the location and size in hectares of its sites with the most significant impacts on,GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5b,"[Locations with biodiversity impacts] for each site reported under 101-5-a, report whether it is in or near an ecologically",GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5c,[Locations with biodiversity impacts] report the activities that take place in each site reported under 101-5-a;,GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5d,[Locations with biodiversity impacts] report the products and services in its supply chain with the most significant impacts,GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5i,[Locations with biodiversity impacts] areas of biodiversity importance;,GRI 101_ Biodiversity 2024 - English
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,GRI,GRI-101-5v,[Locations with biodiversity impacts] areas important for the delivery of ecosystem service benefits to Indigenous,GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6a,[Direct drivers of biodiversity loss] for each site reported under 101-5-a where its activities lead or could lead to land and,GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6b,[Direct drivers of biodiversity loss] for each site reported under 101-5-a where its activities lead or could lead to the,GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6c,"[Direct drivers of biodiversity loss] for each site reported under 101-5-a where its activities lead or could lead to pollution,",GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6d,[Direct drivers of biodiversity loss] for each site reported under 101-5-a where its activities lead or could lead to the,GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6e,"[Direct drivers of biodiversity loss] for each product and service in its supply chain reported under 101-5-d, report the",GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6f,[Direct drivers of biodiversity loss] report contextual information necessary to understand how the data has been,GRI 101_ Biodiversity 2024 - English
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,GRI,GRI-101-6i,[Direct drivers of biodiversity loss] the size in hectares of natural ecosystem converted since a cut-off or reference,GRI 101_ Biodiversity 2024 - English
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,GRI,GRI-101-7a,"[Changes to the state of biodiversity] for each site reported under 101-5-a, report the following information on affected or",GRI 101_ Biodiversity 2024 - English
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,GRI,GRI-101-7b,[Changes to the state of biodiversity] report contextual information necessary to understand how the data has been,GRI 101_ Biodiversity 2024 - English
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,GRI,GRI-101-7i,[Changes to the state of biodiversity] the ecosystem type for the base year;,GRI 101_ Biodiversity 2024 - English
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-101-8a,"[Ecosystem services] for each site reported under 101-5-a, list the ecosystem services and beneficiaries",GRI 101_ Biodiversity 2024 - English
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-101-8b,[Ecosystem services] explain how the ecosystem services and beneficiaries are or could be affected by the,GRI 101_ Biodiversity 2024 - English
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10a,[Carbon credits] report the total amount of carbon credits canceled in metric tons of CO₂ equivalent and,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10b,"[Carbon credits] for each project where carbon credits have been canceled, report:",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10c,"[Carbon credits] for each carbon credit project reported under 102-10-b, describe how the project",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10d,[Carbon credits] report the purpose of carbon credit cancelation;,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10e,[Carbon credits] describe the impacts on people and the environment from projects where carbon,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10i,[Carbon credits] project name and ID;,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-10v,[Carbon credits] unique issuance and claiming;,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1a,"[Transition plan for climate change mitigation] describe its transition plan, including policies and actions to mitigate climate change;",GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1b,[Transition plan for climate change mitigation] describe how the transition plan aligns with the latest scientific evidence on the global,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1c,[Transition plan for climate change mitigation] report the total expenditure incurred by the implementation of the transition plan as,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1d,[Transition plan for climate change mitigation] report the governance bodies or individual roles responsible for overseeing and,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1e,[Transition plan for climate change mitigation] describe how the transition plan is embedded in its business strategy;,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1f,"[Transition plan for climate change mitigation] report the targets to achieve the transition plan and progress toward them, including:",GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1g,[Transition plan for climate change mitigation] describe how the transition plan aligns with just transition principles and how,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1h,[Transition plan for climate change mitigation] describe the impacts on people and the environment from implementing the transition,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1i,[Transition plan for climate change mitigation] GHG emissions reduction targets reported under Disclosure 102-4;,GRI 102_ Climate Change 2025
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,GRI,GRI-102-1j,"[Transition plan for climate change mitigation] explain, in the absence of a transition plan, why it does not exist, and describe the steps",GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2a,[Climate change adaptation plan] describe the impacts on people and the environment associated with its climate,GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2b,"[Climate change adaptation plan] describe its adaptation plan, including:",GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2c,[Climate change adaptation plan] describe the impacts on people and the environment from implementing the adaptation,GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2d,"[Climate change adaptation plan] explain, in the absence of an adaptation plan, why it does not exist, and describe the",GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2i,[Climate change adaptation plan] policies and actions to adapt to climate change;,GRI 102_ Climate Change 2025
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,GRI,GRI-102-2v,[Climate change adaptation plan] the targets to achieve the adaptation plan and progress toward them;,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3a,[Just transition] report the total number of new employees recruited and a breakdown of this total by:,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3b,[Just transition] report the total number of employees whose work was terminated and a breakdown of,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3c,[Just transition] report the total number of redeployed employees and a breakdown of this total by:,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3d,"[Just transition] report the total number of employees who received training for up- and re-skilling, and a",GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3e,[Just transition] report the total number of new workers who are not employees recruited and a,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3f,[Just transition] report the total number of workers who are not employees whose work was terminated,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3g,[Just transition] report the total number and percentage of new employees recruited whose basic pay is,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3h,[Just transition] list the locations of operation where the organization has impacts on local communities,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3i,[Just transition] report the percentage of locations of operation listed under 102-3-h in which an,GRI 102_ Climate Change 2025
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,GRI,GRI-102-3j,[Just transition] report contextual information necessary to understand the data reported under 102-3,GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4a,"[GHG emissions reduction targets and progress] report short-, medium-, and long-term gross Scope 1, Scope 2, and Scope 3 GHG",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4b,"[GHG emissions reduction targets and progress] for each gross GHG emissions reduction target, report whether biogenic CO₂ emissions",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4c,"[GHG emissions reduction targets and progress] for each gross Scope 2 GHG emissions reduction target, report whether the targets use",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4d,"[GHG emissions reduction targets and progress] for each gross Scope 3 GHG emissions reduction target, list the Scope 3 categories",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4e,"[GHG emissions reduction targets and progress] for each gross GHG emissions reduction target, report the gases covered by the target;",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4f,[GHG emissions reduction targets and progress] explain how the gross GHG emissions reduction targets align with the latest scientific,GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4g,[GHG emissions reduction targets and progress] describe its gross GHG emissions reduction target revision policy;,GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4h,"[GHG emissions reduction targets and progress] for each gross GHG emissions reduction target, report the base year, including:",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4i,"[GHG emissions reduction targets and progress] gross Scope 1, Scope 2, and Scope 3 GHG emissions reduction targets are",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4j,"[GHG emissions reduction targets and progress] for each gross GHG emissions reduction target, explain how the progress toward the",GRI 102_ Climate Change 2025
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,GRI,GRI-102-4k,"[GHG emissions reduction targets and progress] report standards, methodologies, assumptions, and calculation tools used.",GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5a,"[Scope 1 GHG emissions] report gross Scope 1 GHG emissions in metric tons of CO₂ equivalent, and in the",GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5b,"[Scope 1 GHG emissions] provide a breakdown of gross Scope 1 GHG emissions by CO , CH , NO, HFCs, PFCs,",GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5c,[Scope 1 GHG emissions] report biogenic CO₂ emissions from the combustion or biodegradation of biomass from,GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5d,"[Scope 1 GHG emissions] report the base year for the calculation, including:",GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5e,[Scope 1 GHG emissions] report the consolidation approach for Scope 1 GHG emissions that is consistently,GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5f,"[Scope 1 GHG emissions] report standards, methodologies, assumptions, and calculation tools used, including",GRI 102_ Climate Change 2025
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,GRI,GRI-102-5i,"[Scope 1 GHG emissions] include emissions of CO, CH , NO, HFCs, PFCs, SF, and NF ;",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6a,"[Scope 2 GHG emissions] report gross location-based and, if applicable, market-based Scope 2 GHG emissions in",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6b,"[Scope 2 GHG emissions] provide a breakdown of gross location-based Scope 2 GHG emissions by CO CH, and",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6c,"[Scope 2 GHG emissions] report location-based and, if applicable, market-based biogenic CO₂ emissions from",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6d,"[Scope 2 GHG emissions] report the base year for the calculation, including:",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6e,[Scope 2 GHG emissions] report the consolidation approach for Scope 2 GHG emissions that is consistently,GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6f,"[Scope 2 GHG emissions] report standards, methodologies, assumptions, and calculation tools used, including",GRI 102_ Climate Change 2025
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,GRI,GRI-102-6i,"[Scope 2 GHG emissions] include emissions of CO, CH , and N O;",GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7a,"[Scope 3 GHG emissions] report gross Scope 3 GHG emissions in metric tons of CO₂ equivalent, and in the",GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7b,[Scope 3 GHG emissions] provide a breakdown of gross Scope 3 GHG emissions by each of the 15 Scope 3,GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7c,[Scope 3 GHG emissions] report biogenic CO₂ emissions from the combustion or biodegradation of biomass in the,GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7d,"[Scope 3 GHG emissions] report the base year for the calculation, including:",GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7e,[Scope 3 GHG emissions] report the consolidation approach for Scope 3 GHG emissions that is consistently,GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7f,"[Scope 3 GHG emissions] report standards, methodologies, assumptions, and calculation tools used, including",GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7i,[Scope 3 GHG emissions] include GHG emissions for each Scope 3 category;,GRI 102_ Climate Change 2025
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,GRI,GRI-102-7v,[Scope 3 GHG emissions] use the global warming potential (GWP) values based on a 100-year timeframe,GRI 102_ Climate Change 2025
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,GRI,GRI-102-8a,"[GHG emissions intensity] report GHG emissions intensity ratio(s), including the gross GHG emissions in metric",GRI 102_ Climate Change 2025
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,GRI,GRI-102-8b,"[GHG emissions intensity] report the scope(s) of GHG emissions included in the intensity ratio(s), whether Scope",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9a,"[GHG removals in the value chain] report the total Scope 1 GHG removals in metric tons of CO₂ equivalent, excluding any",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9b,"[GHG removals in the value chain] for each type of storage pool, describe how quality criteria are monitored to manage the",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9c,[GHG removals in the value chain] report the intended use of GHG removals;,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9d,[GHG removals in the value chain] describe the impacts on people and the environment from its Scope 1 GHG removals,GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9e,"[GHG removals in the value chain] report standards, methodologies, assumptions, and calculation tools used.",GRI 102_ Climate Change 2025
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,GRI,GRI-102-9i,"[GHG removals in the value chain] workers, local communities, and Indigenous Peoples;",GRI 102_ Climate Change 2025
IMP-M06-I01,Energy,Total Energy Consumption,GRI,GRI-103-1a,[Energy policies and commitments] describe how its energy-related policies and commitments contribute to energy,GRI 103_ Energy 2025
IMP-M06-I01,Energy,Total Energy Consumption,GRI,GRI-103-1b,"[Energy policies and commitments] describe the impacts on the economy, environment, and people that may result from its",GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2a,"[Energy consumption and self-generation within] report total fuel consumption within the organization in joules, watt-hours, or multiples,",GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2b,"[Energy consumption and self-generation within] report total purchased electricity, heating, cooling, and steam consumption within the",GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2c,"[Energy consumption and self-generation within] report total self-generated renewable electricity, heating, cooling, and steam consumption",GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2d,"[Energy consumption and self-generation within] report total self-generated electricity, heating, cooling, and steam sold in joules, watt-",GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2e,[Energy consumption and self-generation within] report whether contractual instruments are used to disclose information on purchased,GRI 103_ Energy 2025
IMP-M06-I02,Energy,Renewable Energy Consumption,GRI,GRI-103-2f,"[Energy consumption and self-generation within] report standards, methodologies, assumptions, and calculation tools used, including the",GRI 103_ Energy 2025
